round,fraction,dice,method
1,0.12,0.29985381777469927,js-divergence
2,0.17,0.5568990157200739,js-divergence
3,0.22,0.590416995378641,js-divergence
4,0.27,0.7230025300612817,js-divergence
5,0.32,0.721649183676793,js-divergence
6,0.37,0.7488581813298739,js-divergence
7,0.42,0.7487027599261358,js-divergence
8,0.47,0.7667402762633103,js-divergence
9,0.52,0.7635300021905166,js-divergence
10,0.57,0.7665942586385287,js-divergence
11,0.62,0.7797930836677551,js-divergence
12,0.67,0.7838978583996112,js-divergence
13,0.72,0.8119127887945908,js-divergence
14,0.77,0.8163820000795218,js-divergence
15,0.82,0.8233537582250742,js-divergence
16,0.87,0.8350792710597699,js-divergence
17,0.92,0.842094036249014,js-divergence
18,0.97,0.8424807786941528,js-divergence
19,1.0,0.8158320280221792,js-divergence
