round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.7181558471459609,0.6909385002576387,0.0038612607058520335,js-divergence
2,0.17,0.7235375184279221,0.7055370110731859,0.005209827658173411,js-divergence
3,0.22,0.7168364616540762,0.6969960973812983,0.00393542183981008,js-divergence
4,0.27,0.7522601576951834,0.7276452541351319,0.003707255790027099,js-divergence
5,0.32,0.7735571265220642,0.7544922030889071,0.003441873616425219,js-divergence
6,0.37,0.7629006596711966,0.7517199030289283,0.004056641338725255,js-divergence
7,0.42,0.774938702583313,0.7579406866660485,0.004620674527586984,js-divergence
8,0.47,0.7754048017355112,0.7657874428308927,0.0019738567150776425,js-divergence
9,0.52,0.7735583461247958,0.7623493726436908,0.00235960058545883,js-divergence
10,0.57,0.7887629316403315,0.7702116223481985,0.0035816245321504104,js-divergence
11,0.62,0.7959516965425931,0.7819823714403005,0.002462825674607629,js-divergence
12,0.67,0.8070788291784433,0.7894577163916369,0.0022283726607794144,js-divergence
13,0.72,0.8262268121425922,0.8128452301025391,0.0019234881092646846,js-divergence
14,0.77,0.8263195157051086,0.817130850828611,0.0021016073079431533,js-divergence
15,0.82,0.8291750779518714,0.8158607785518353,0.003127395740522917,js-divergence
16,0.87,0.8324995957888089,0.8261861480199375,0.003948096675431928,js-divergence
17,0.92,0.8349838119286758,0.8280627324030949,0.0014927190802384478,js-divergence
18,0.97,0.8416124490591196,0.8313841718893784,0.002610205463980232,js-divergence
19,1.0,0.8490197750238272,0.8387911237203157,0.0031520755826989046,js-divergence
