round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.7181558471459609,0.6909385002576387,0.0038612607058520335,random
2,0.17,0.7249298095703125,0.6928678485063406,0.007888816728994073,random
3,0.22,0.7606264994694636,0.7191434741020203,0.004104650421481137,random
4,0.27,0.7533492124997653,0.7219964210803692,0.005091157697275323,random
5,0.32,0.7656490435967078,0.7450760685480557,0.005430555056380822,random
6,0.37,0.7932594831173236,0.7715547002278841,0.005303802680546471,random
7,0.42,0.7867226417248065,0.7655180169985845,0.0032089645011739542,random
8,0.47,0.7745033456729009,0.768106444982382,0.0044224308642322185,random
9,0.52,0.7762280931839576,0.7655871281257042,0.005504166933250473,random
10,0.57,0.7927538844255301,0.7835701951613794,0.0046178947510488655,random
11,0.62,0.8045005935889024,0.789608436364394,0.005577280507226451,random
12,0.67,0.8156059842843276,0.8068063937700712,0.0024704113773689647,random
13,0.72,0.8072051451756403,0.8045766592025757,0.0034994126902632016,random
14,0.77,0.8232281987483685,0.8047027248602646,0.0041068704171543955,random
15,0.82,0.8233606402690594,0.8092175712952248,0.005165603280710037,random
16,0.87,0.821637382874122,0.8095753183731664,0.0020247475053963887,random
17,0.92,0.836011515213893,0.8256801596054663,0.003129056010697621,random
18,0.97,0.8215052347916824,0.8208841369702264,0.0023667035501912636,random
19,1.0,0.8321316929963919,0.8263253798851601,0.0014870189858832146,random
