round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.7181558471459609,0.6909385002576387,0.0038612607058520335,entropy
2,0.17,0.7495199166811429,0.7123251649049612,0.005107671022521638,entropy
3,0.22,0.7514215661929204,0.7209748378166786,0.00296140663198702,entropy
4,0.27,0.7628716826438904,0.7403481336740345,0.00275994181165616,entropy
5,0.32,0.7808294525513282,0.744521097953503,0.004686893717181797,entropy
6,0.37,0.7795891211583064,0.7659320712089539,0.005656414757244364,entropy
7,0.42,0.7904847676937397,0.7663568579233611,0.003497631776868485,entropy
8,0.47,0.7796371212372413,0.7708411033336933,0.004001497910275877,entropy
9,0.52,0.7884191366342398,0.7690975207548875,0.0034735640635399725,entropy
10,0.57,0.7970755650446966,0.7682600599068862,0.005372686025149745,entropy
11,0.62,0.7992008878634527,0.7773783060220572,0.0050394042043120915,entropy
12,0.67,0.7922095931493319,0.7835653901100159,0.0034631976041516726,entropy
13,0.72,0.8149417409530053,0.8089931084559513,0.002512526283581943,entropy
14,0.77,0.8145360763256366,0.8069791665444008,0.004170483568489136,entropy
15,0.82,0.8186405438643235,0.8110291471848121,0.0034529593621428845,entropy
16,0.87,0.8304180777989901,0.813173218873831,0.003369117776789821,entropy
17,0.92,0.8173025112885696,0.8233942820475653,0.002562285675226805,entropy
18,0.97,0.8316289965923016,0.8151669933245731,0.004064581750394069,entropy
19,1.0,0.8399032125106225,0.8305741676917442,0.002175588977651802,entropy
