round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.7181558471459609,0.6909385002576387,0.0038612607058520335,bald
2,0.17,0.7294157651754526,0.7163706027544462,0.009206277969439732,bald
3,0.22,0.7385150881913992,0.724639882491185,0.003108668867430047,bald
4,0.27,0.7284051913481492,0.7104424430773809,0.0040996353960243755,bald
5,0.32,0.7616395491820115,0.7409014142476595,0.0017720606663867884,bald
6,0.37,0.7806109281686636,0.7576024082990792,0.010102766402218286,bald
7,0.42,0.7853711109894973,0.7623004803290734,0.00404696865437965,bald
8,0.47,0.7748450545164255,0.7542815868671123,0.00402137441485598,bald
9,0.52,0.7936198161198542,0.774948016496805,0.0007047948645777215,bald
10,0.57,0.7943084881855891,0.7748341514514043,0.004640828484839275,bald
11,0.62,0.8032617568969727,0.7812531764690693,0.003090717250439248,bald
12,0.67,0.7798718626682575,0.7736355213018564,0.003342647360438859,bald
13,0.72,0.7987659940352807,0.7831285825142494,0.004283707858680097,bald
14,0.77,0.8087039452332717,0.7957570782074561,0.003097249423217039,bald
15,0.82,0.8024496069321265,0.7963813845927898,0.0039030102534783557,bald
16,0.87,0.8208714310939496,0.8050254693398109,0.006357991815061831,bald
17,0.92,0.8240818702257596,0.809941646685967,0.0038820764045283855,bald
18,0.97,0.8263925726597126,0.8142219084959763,0.007502474150115777,bald
19,1.0,0.8327543231157156,0.8190244913101197,0.0009950629000419708,bald
