round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.6164348927827982,0.5403813903148358,0.008447794535895805,js-divergence
2,0.17,0.6038059225449195,0.5463929932851057,0.003943737112680533,js-divergence
3,0.22,0.6486692428588867,0.5994663651172931,0.005787251606030156,js-divergence
4,0.27,0.6894368621019217,0.6448319192116078,0.00597829203450802,js-divergence
5,0.32,0.6659337740678054,0.6353613770925082,0.0070411551159996495,js-divergence
6,0.37,0.6768989608838007,0.6592408391145559,0.011477005728168638,js-divergence
7,0.42,0.7067587146392236,0.6775305353678189,0.004339007393828456,js-divergence
8,0.47,0.7064952758642343,0.6885366283930265,0.007141963749454187,js-divergence
9,0.52,0.7071447922633245,0.6931920931889461,0.0038645881618884765,js-divergence
10,0.57,0.7388364810210007,0.7155216482969431,0.002810528477866006,js-divergence
11,0.62,0.7214390864739051,0.7280752970622137,0.0024893556155443242,js-divergence
12,0.67,0.7380216396771945,0.7281375921689548,0.009935123378567095,js-divergence
13,0.72,0.7232541487767146,0.7181709106151875,0.0016879152691502582,js-divergence
14,0.77,0.7651827472906846,0.7470016387792734,0.0038335098228857137,js-divergence
15,0.82,0.7696183094611535,0.7705535934521602,0.0038374210819747488,js-divergence
16,0.87,0.7684903832582327,0.7634962366177486,0.0038056930003972436,js-divergence
17,0.92,0.7904085058432359,0.7814874117191022,0.0033943198774683265,js-divergence
18,0.97,0.7944846199109004,0.7849374312620897,0.002735508443157397,js-divergence
19,1.0,0.798663318157196,0.7936296389653132,0.0048094870427176206,js-divergence
