round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.6164348927827982,0.5403813903148358,0.008447794535895805,random
2,0.17,0.6682912019582895,0.6146238625049592,0.0060806219289228835,random
3,0.22,0.6745336468403156,0.6333610928975618,0.005989543015342117,random
4,0.27,0.6969277354387137,0.6450968742370605,0.004763676949795444,random
5,0.32,0.7068509872143085,0.6718531736960778,0.007461564394219639,random
6,0.37,0.6856644199444697,0.6649707849209125,0.005456072727037526,random
7,0.42,0.707541131056272,0.6849173279908987,0.003629899519618948,random
8,0.47,0.747469228047591,0.7103253584641676,0.006829337144986715,random
9,0.52,0.7657179832458496,0.7546227500988888,0.003043484010957253,random
10,0.57,0.7487178353162912,0.7424942621817956,0.005179614277067956,random
11,0.62,0.7922085156807532,0.7694355350274307,0.004453933686147409,random
12,0.67,0.780827270104335,0.7723185658454895,0.0031945180564897,random
13,0.72,0.7926984842006977,0.7808950194945703,0.0038243515267545134,random
14,0.77,0.7966033082741958,0.784833509188432,0.002432544613394748,random
15,0.82,0.8011439167536222,0.7933512220015893,0.005724038328698385,random
16,0.87,0.8118542937132028,0.799115658723391,0.0011322204519776662,random
17,0.92,0.8006598811883193,0.8032795328360338,0.0018587606713043393,random
18,0.97,0.8086596085475042,0.8111021564557003,0.0016245194040576082,random
19,1.0,0.8071147707792429,0.8113180958307706,0.001934394605347005,random
