round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.5062792759675246,0.47804374373876135,0.01593777142311893,js-divergence
2,0.17,0.5387609394697043,0.49742978490315953,0.00773631835512034,js-divergence
3,0.22,0.6118446542666509,0.5392354896435372,0.013394132410352632,js-divergence
4,0.27,0.6620924885456378,0.6335620522499085,0.004412652897482424,js-divergence
5,0.32,0.6921082414113559,0.6682245786373432,0.004430603637772683,js-divergence
6,0.37,0.7178520606114314,0.7052729304020222,0.005856367560310621,js-divergence
7,0.42,0.7538195252418518,0.7403513945066013,0.004459244775016429,js-divergence
8,0.47,0.7479477570607111,0.7443896687947786,0.0050591730625218915,js-divergence
9,0.52,0.76288607945809,0.7548128100541921,0.005271646630024433,js-divergence
10,0.57,0.7957603610478915,0.7785161706117483,0.005306785971696904,js-divergence
11,0.62,0.7894072257555448,0.7872400008715116,0.00304432358827331,js-divergence
12,0.67,0.801529586315155,0.772947345330165,0.0011030084682192988,js-divergence
13,0.72,0.7930728013698871,0.7779195702992954,0.004072249452129149,js-divergence
14,0.77,0.8028950966321505,0.8011257235820477,0.003250742354718046,js-divergence
15,0.82,0.8198749514726492,0.8162334588857798,0.001491652688104911,js-divergence
16,0.87,0.8184967132715079,0.8230845891512357,0.0015408158782699373,js-divergence
17,0.92,0.8349940455876864,0.8255842933287987,0.0018501301374329823,js-divergence
18,0.97,0.8368930587401757,0.8300754913916955,0.0011155935230267617,js-divergence
19,1.0,0.837724676499,0.8268822248165423,0.003240581616533732,js-divergence
