round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.5062792759675246,0.47804374373876135,0.01593777142311893,bald
2,0.17,0.5294971259740683,0.5204069926188541,0.007096598541889037,bald
3,0.22,0.5132010235236242,0.5086624507720654,0.011240805162360373,bald
4,0.27,0.6476152539253235,0.6085975339779488,0.010310276072366703,bald
5,0.32,0.6668021541375381,0.6632101517457227,0.011339862088571972,bald
6,0.37,0.7084776942546551,0.6836676570085378,0.00617974572372765,bald
7,0.42,0.727695460502918,0.7194833737153272,0.004823009044697119,bald
8,0.47,0.7313180886782132,0.7140434366006116,0.005349560418047034,bald
9,0.52,0.7441335228773264,0.756547169501965,0.004163394018484825,bald
10,0.57,0.7378273285352267,0.7503945396496698,0.002854384864204228,bald
11,0.62,0.7683257598143357,0.7465214912707989,0.003655502604592806,bald
12,0.67,0.7204026671556326,0.7458993379886334,0.002171357912520295,bald
13,0.72,0.784388528420375,0.7658656780536358,0.0022354084591857124,bald
14,0.77,0.7741212661449726,0.7763183254462022,0.0029531137048397745,bald
15,0.82,0.7858306903105515,0.7754386039880605,0.002761130663225858,bald
16,0.87,0.791345279950362,0.7863985446783213,0.0021985420714006865,bald
17,0.92,0.7929819088715774,0.7859931551493131,0.0051122874268391735,bald
18,0.97,0.7959394134007968,0.7967963631336505,0.005536328936700201,bald
19,1.0,0.7913747750795804,0.786594009399414,0.0038973649126804546,bald
