round,fraction,deterministic_dice_score,mcmc_dice,mcmc_std,method
1,0.12,0.5062792759675246,0.47804374373876135,0.01593777142311893,entropy
2,0.17,0.6028003096580505,0.5686690917381874,0.010510218934144448,entropy
3,0.22,0.6357524853486282,0.5749944219222436,0.007980327895700443,entropy
4,0.27,0.5965740497295673,0.5650194268960219,0.011525203947640403,entropy
5,0.32,0.7252602989857013,0.7129055270781884,0.0035732799147678,entropy
6,0.37,0.7532333548252399,0.7260305734781118,0.0017902974619069284,entropy
7,0.42,0.7650093344541696,0.7510878443717957,0.0052542305016285845,entropy
8,0.47,0.7515901969029353,0.7527336230644813,0.0012467053899023453,entropy
9,0.52,0.7700330431644733,0.7640875541246854,0.0041044772944086915,entropy
10,0.57,0.7747672383601849,0.7602021464934715,0.00610816028252162,entropy
11,0.62,0.7696628937354455,0.759555145410391,0.004928335144474853,entropy
12,0.67,0.7745833855408889,0.736467247742873,0.0010583614743602918,entropy
13,0.72,0.7987557053565979,0.7778309207696181,0.005649663674770323,entropy
14,0.77,0.7969411015510559,0.7921410358869112,0.0016028143411268155,entropy
15,0.82,0.8146121272673974,0.8028244064404415,0.005444121810290715,entropy
16,0.87,0.8169297713499802,0.8131133886483999,0.0042502228663746115,entropy
17,0.92,0.815330234857706,0.8123020997414223,0.0029655825322128194,entropy
18,0.97,0.8207407089380118,0.8073668920076811,0.0028703076736378516,entropy
19,1.0,0.8170202374458313,0.8116621916110699,0.0028342003460444594,entropy
