round,fraction,dice,method
1,0.12,0.46055192901537967,js-divergence
2,0.17,0.6521952977547278,js-divergence
3,0.22,0.7328586211571326,js-divergence
4,0.27,0.694596882049854,js-divergence
5,0.32,0.7423818799165579,js-divergence
6,0.37,0.7749711320950434,js-divergence
7,0.42,0.7571601959375235,js-divergence
8,0.47,0.7675165350620563,js-divergence
9,0.52,0.7795905608397263,js-divergence
10,0.57,0.7717735767364502,js-divergence
11,0.62,0.8187129314129169,js-divergence
12,0.67,0.8163987443997309,js-divergence
13,0.72,0.8293379178413978,js-divergence
14,0.77,0.8274262639192435,js-divergence
15,0.82,0.8366118165162894,js-divergence
16,0.87,0.834663831270658,js-divergence
17,0.92,0.8450332146424514,js-divergence
18,0.97,0.8518380889525781,js-divergence
19,1.0,0.8488676318755517,js-divergence
